Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Gunn Rita Dahle-Flesj,F,31.0,173.0,64.0,Norway,NOR,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Mountainbike, Cross-Country",Gold
Lisa Karolina Viktoria Dahlkvist,F,29.0,173.0,66.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Silver
Marianne Dahlmo (-Breivoll),F,23.0,179.0,65.0,Norway,NOR,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
Heike Dhne (-Mller),F,18.0,172.0,67.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Sabine Dhne,F,26.0,177.0,73.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxless Pairs,Silver
Dai Jun,M,20.0,181.0,75.0,China,CHN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Dai Xiaoxiang,M,21.0,178.0,70.0,China,CHN,2012 Summer,2012,Summer,London,Archery,Archery Men's Individual,Bronze
Sylvie Daigle,F,29.0,168.0,61.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
Sylvie Daigle,F,31.0,168.0,61.0,Canada,CAN,1994 Winter,1994,Winter,Lillehammer,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Silver
Laurent Daignault,M,23.0,168.0,64.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
Michel Daignault,M,25.0,169.0,67.0,Canada,CAN,1992 Winter,1992,Winter,Albertville,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
Ro Masivesi Dakuwaqa,M,22.0,190.0,105.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
